# Version 2
# List the overlaps with next data (skipping last few frames)
# negative number means there's gap between current and next folder
# will only use latest dataset for duplicated data
# frames_overlaps total_frames_w/_overlaps folder_path
0 7 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_08_070940/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_09_012802/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_09_153013/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_10_043349/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_11_174849/
3 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_12_090733/
4 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_13_070554/
3 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_14_085343/
4 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_14_212506/
7 33 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_15_132043/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_16_015122/
3 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_16_142213/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_17_025305/
4 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_17_152408/
3 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_18_035514/
4 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_18_162619/
4 30 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_19_045726/
3 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_22_155319/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_26_050413/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_29_145826/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_31_093152/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_25_12_31_220301/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_01_103334/
-2 21 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_01_202312/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_02_175921/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_03_062941/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_03_190031/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_04_200243/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_05_083344/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_06_062356/
4 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_07_112647/
2 24 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_08_111332/
1 24 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_10_163107/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_12_062622/
4 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_12_185726/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_13_165936/
3 24 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_14_053015/
3 25 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_14_180047/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_15_065152/
3 25 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_15_192233/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_16_075404/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_16_202503/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_17_085614/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_17_213716/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_19_022959/
1 23 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_19_150043/
3 15 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_20_035746/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_21_005616/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_21_164245/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_22_051317/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_22_231311/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_23_114350/
4 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_24_010216/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_24_133234/
4 29 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_25_020335/
4 30 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_25_202653/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_26_085704/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_01_26_223510/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_02_030444/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_03_022514/
4 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_03_164133/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_04_083351/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_04_234513/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_05_131629/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_06_045938/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_06_173041/
4 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_07_060101/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_07_183200/
3 25 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_08_080332/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_08_225202/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_09_121352/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_10_085706/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_11_040624/
4 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_11_213013/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_12_123725/
3 28 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_13_045125/
3 27 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_13_200124/
1 16 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_14_110458/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_15_043251/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_15_192038/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_16_103918/
3 26 /anvil/scratch/x-yguo11/bhdisk_sol_05/h5data/3d_data_26_03_17_044800/
